episode,timestep,reward
9599,1932000,-172.2591
9610,1934000,44.898
9619,1936000,-32.7227
9629,1938000,-67.1862
9639,1940000,-15.57
9648,1942000,-48.1738
9659,1944000,41.7852
9668,1946000,-8.1184
9678,1948000,97.7979
9688,1950000,99.8538
9699,1952000,44.9322
9709,1954000,78.9746
9720,1956000,2.4197
9730,1958000,50.3966
9741,1960000,77.8729
9751,1962000,20.0577
9761,1964000,38.819
9771,1966000,20.9752
9781,1968000,35.5124
9791,1970000,-0.5194
9800,1972000,36.585
9811,1974000,27.6212
9821,1976000,8.6169
9830,1978000,24.0472
9840,1980000,30.5099
9851,1982000,89.3441
9861,1984000,47.2152
9872,1986000,65.605
9882,1988000,46.2512
9892,1990000,83.5343
9903,1992000,58.3137
9914,1994000,47.4043
9923,1996000,95.5398
9933,1998000,30.8644
9943,2000000,10.4753
9953,2002000,73.4055
9963,2004000,50.0387
9975,2006000,65.1159
9985,2008000,49.054
9996,2010000,62.8563
10005,2012000,-36.444
10015,2014000,36.5107
10025,2016000,56.8349
10035,2018000,7.5523
10044,2020000,10.6404
10055,2022000,82.2083
10066,2024000,126.3698
10075,2026000,-8.121
10085,2028000,69.5122
10094,2030000,41.9987
10104,2032000,49.9235
10114,2034000,141.1388
10124,2036000,-12.6805
10134,2038000,6.6415
10144,2040000,-95.9137
10154,2042000,-29.835
10165,2044000,28.0761
10174,2046000,53.2926
10183,2048000,-5.105
10193,2050000,97.2211
10203,2052000,4.3361
10212,2054000,49.0645
10222,2056000,25.0973
10232,2058000,21.0326
10242,2060000,-19.2608
10253,2062000,69.0379
10263,2064000,8.8681
10273,2066000,22.1483
10283,2068000,34.8942
10293,2070000,109.684
10303,2072000,26.6218
10313,2074000,45.7559
10323,2076000,-37.2134
10334,2078000,66.1399
10344,2080000,38.3491
10354,2082000,49.8467
10364,2084000,59.8766
10374,2086000,-8.2491
10385,2088000,48.0973
10395,2090000,80.8046
10405,2092000,105.2724
10415,2094000,97.5214
10425,2096000,83.276
10436,2098000,183.072
10447,2100000,-1.2248
10456,2102000,-11.3096
10467,2104000,126.9943
10477,2106000,49.5154
10487,2108000,26.1719
10497,2110000,58.7169
10507,2112000,-17.5147
10518,2114000,104.9636
10528,2116000,85.1454
10539,2118000,102.3519
10549,2120000,89.5558
10559,2122000,32.6688
10570,2124000,162.5718
10579,2126000,60.2609
10590,2128000,134.3831
10600,2130000,41.948
10610,2132000,99.1627
10620,2134000,160.5264
10631,2136000,102.153
10641,2138000,24.6658
10652,2140000,-12.5452
10663,2142000,100.3096
10673,2144000,82.3453
10683,2146000,39.9656
10692,2148000,36.2726
10703,2150000,33.3897
10714,2152000,56.4645
10723,2154000,90.3336
10733,2156000,115.4904
10742,2158000,-14.0459
10753,2160000,105.13
10762,2162000,49.485
10772,2164000,42.7694
10783,2166000,7.5225
10793,2168000,77.1985
10802,2170000,-11.8726
10813,2172000,-10.5868
10823,2174000,143.5267
10832,2176000,7.5186
10842,2178000,53.709
10852,2180000,57.3466
10863,2182000,68.4646
10873,2184000,23.4627
10884,2186000,67.1191
10894,2188000,73.1157
10904,2190000,-47.2478
10914,2192000,76.65
10925,2194000,62.7599
10936,2196000,24.352
10945,2198000,-34.2938
10955,2200000,61.5432
10964,2202000,-5.5516
10974,2204000,88.4522
10985,2206000,85.0685
10996,2208000,102.4506
11006,2210000,83.9209
11018,2212000,45.3235
11027,2214000,51.2369
11038,2216000,28.2244
11048,2218000,103.9028
11059,2220000,109.9612
11068,2222000,17.192
11078,2224000,-87.1761
11088,2226000,89.269
11098,2228000,101.5885
11108,2230000,-42.353
11118,2232000,78.3187
11129,2234000,110.8799
11140,2236000,84.9953
